# Per function the application calls: the outcomes of the assertions
# it is the subject of (their outermost call), and how many other
# failing assertions it takes part in.
# function	state	app calls	pass	fail	quarantine	missing	harbour	also in
hb_DirSepAdd	implemented	6	4	0	0	0	0	0
hb_HexToStr	implemented	6	2	0	0	0	0	0
HB_ISARRAY	stub	6	0	0	0	0	0	0
hb_mutexSubscribe	implemented	6	1	0	0	0	0	0
hb_socketOpen	implemented	6	11	0	0	0	0	0
FRename	implemented	5	5	0	0	0	0	0
hb_bitShift	implemented	5	5	0	0	0	0	0
hb_defaultValue	stub	5	0	0	0	0	0	0
hb_socketShutdown	implemented	5	0	0	0	0	0	0
ACopy	implemented	4	36	0	0	0	0	0
Bin2I	implemented	4	9	0	0	0	0	0
Bin2W	implemented	4	9	0	0	0	0	0
DirChange	implemented	4	3	0	0	0	0	0
DiskSpace	implemented	4	1	0	0	0	0	0
DosError	implemented	4	2	0	0	0	0	0
hb_BSubStr	implemented	4	2	0	0	0	0	0
hb_comClose	stub	4	0	0	0	0	0	0
hb_comFlush	stub	4	0	0	0	0	0	0
hb_CStr	implemented	4	6	0	0	0	0	0
hb_FileExists	implemented	4	3	0	0	0	0	0
hb_FNameNameExt	implemented	4	2	0	0	0	0	0
hb_FNameSplit	implemented	4	0	0	0	0	0	0
hb_gcAll	implemented	4	0	0	0	0	0	0
hb_HGet	implemented	4	2	0	0	0	0	0
hb_HKeepOrder	implemented	4	1	0	0	0	0	0
hb_IsFunction	implemented	4	4	0	0	0	0	0
hb_mutexNotify	implemented	4	0	0	0	0	0	0
hb_regexComp	stub	4	0	0	0	0	0	0
hb_socketConnect	implemented	4	0	0	0	0	0	0
hb_TSToUTC	implemented	4	0	0	0	0	0	0
hb_TToMSec	implemented	4	2	0	0	0	0	0
I2Bin	implemented	4	9	0	0	0	0	0
MakeDir	implemented	4	2	0	0	0	0	0
MemoLine	implemented	4	8	0	0	0	0	0
MLCount	implemented	4	5	0	0	0	0	0
ProcFile	implemented	4	2	0	0	0	0	0
__mvSave	stub	4	0	0	0	0	0	0
HBClass	stub	3	0	0	0	0	0	0
hb_cwd	implemented	3	1	0	0	0	0	0
hb_DirExists	implemented	3	4	0	0	0	0	0
hb_HKeyAt	implemented	3	2	0	0	0	0	0
hb_keyStd	implemented	3	2	0	0	0	0	0
hb_socketAccept	implemented	3	0	0	0	0	0	0
hb_UTF8ToStr	stub	3	0	0	0	0	0	0
hb_ZCompress	stub	3	0	0	0	0	0	0
Inkey	implemented	3	0	0	0	0	0	0
OutStd	implemented	3	0	0	0	0	0	0
CurDir	implemented	2	1	0	0	0	0	0
DiskChange	implemented	2	3	0	0	0	0	0
hb_argc	implemented	2	1	0	0	0	0	0
hb_ATokens	implemented	2	5	0	0	0	0	0
hb_comFindPort	stub	2	0	0	0	0	0	0
hb_comGetOSError	stub	2	0	0	0	0	0	0
hb_comInit	stub	2	0	0	0	0	0	0
hb_comInputCount	stub	2	0	0	0	0	0	0
hb_comMSR	stub	2	0	0	0	0	0	0
hb_comOpen	stub	2	0	0	0	0	0	0
hb_comOutputCount	stub	2	0	0	0	0	0	0
hb_comSend	stub	2	0	0	0	0	0	0
hb_CurDrive	implemented	2	1	0	0	0	0	0
hb_DirBuild	implemented	2	3	0	0	0	0	0
hb_DirScan	implemented	2	1	0	0	0	0	0
hb_ExecFromArray	implemented	2	5	0	0	0	0	0
hb_FNameExt	implemented	2	5	0	0	0	0	0
hb_FNameExtSet	implemented	2	3	0	0	0	0	0
hb_HPos	implemented	2	2	0	0	0	0	0
hb_HValues	implemented	2	0	0	0	0	0	0
hb_inetCleanup	implemented	2	0	0	0	0	0	0
hb_inetInit	implemented	2	1	0	0	0	0	0
hb_PathNormalize	implemented	2	5	0	0	0	0	0
hb_processRun	implemented	2	2	0	0	0	0	0
hb_socketBind	implemented	2	0	0	0	0	0	0
hb_socketListen	implemented	2	0	0	0	0	0	0
hb_SToD	implemented	2	43	0	0	0	0	0
hb_SToT	implemented	2	0	0	0	0	0	0
hb_StrFormat	implemented	2	17	0	0	0	0	0
hb_StrShrink	implemented	2	29	0	0	0	0	0
hb_StrToHex	implemented	2	2	0	0	0	0	0
hb_threadQuitRequest	implemented	2	0	0	0	0	0	0
hb_threadSelf	implemented	2	0	0	0	0	0	0
hb_TToD	implemented	2	2	0	0	0	0	0
hb_ValToExp	implemented	2	23	0	0	0	0	0
hb_vfErase	implemented	2	1	0	0	0	0	0
hb_vfExists	implemented	2	2	0	0	0	0	0
hb_vfSize	implemented	2	3	0	0	0	0	0
hb_ZLibVersion	stub	2	0	0	0	0	0	0
hb_ZUncompress	stub	2	0	0	0	0	0	0
MemoWrit	implemented	2	6	0	0	0	0	0
QOut	implemented	2	0	0	0	0	0	0
Sqrt	implemented	2	3	0	0	0	0	0
Version	implemented	2	1	0	0	0	0	0
__mvRestore	stub	2	0	0	0	0	0	0
__objGetValueList	stub	2	0	0	0	0	0	0
__objHasMethod	stub	2	0	0	0	0	0	0
ErrorLevel	implemented	1	4	0	0	0	0	0
hb_At	implemented	1	4	0	0	0	0	0
hb_DirTemp	implemented	1	1	0	0	0	0	0
hb_FNameDir	implemented	1	2	0	0	0	0	0
hb_FTempCreateEx	implemented	1	0	0	0	0	0	0
hb_GetEnv	implemented	1	6	0	0	0	0	0
hb_MD5	stub	1	0	0	0	0	0	0
hb_StrReplace	implemented	1	7	0	0	0	0	0
OutErr	implemented	1	0	0	0	0	0	0
SetMode	implemented	1	0	0	0	0	0	0
__Accept	implemented	1	0	0	0	0	0	0
__objGetMethodList	stub	1	0	0	0	0	0	0
__objSendMsg	stub	1	0	0	0	0	0	0
