# Harbour function table — used by the C# transpiler
#
# Combines two pieces of information about each known Harbour function:
#   1. RETTYPE: declared/inferred return type, used by type propagation.
#               One of STRING NUMERIC LOGICAL DATE ARRAY HASH OBJECT BLOCK
#               or "-" if unknown / void / procedure.
#   2. PREFIX:  namespace to remap calls to. e.g., a function with prefix
#               "HbRuntime" produces `HbRuntime.NAME(...)` in C#.
#               Use "-" if the function is called as-is (no remap).
#
# Format: NAME<TAB>RETTYPE<TAB>PREFIX
# Lines starting with `#` and blank lines are ignored. Names are
# case-insensitive but conventionally written UPPERCASE.
#
# THIS FILE IS GENERATED — see src/transpiler/tools/genfunctab.py
# To override an entry, add a row to a hand-curated overrides file
# (loaded after this one) rather than editing here directly.

FAHRENHEIT	NUMERIC	-
FCLOSE	LOGICAL	-
FCOUNT	NUMERIC	-
FCREATE	NUMERIC	-
FERASE	NUMERIC	-
FERROR	NUMERIC	-
FIELDBLOCK	BLOCK	-
FIELDNAME	STRING	-
FIELDPOS	NUMERIC	-
FIELDWBLOCK	BLOCK	-
FILE	LOGICAL	-
FLOCK	LOGICAL	-
FLOOR	NUMERIC	-
FOPEN	NUMERIC	-
FOUND	LOGICAL	-
FREAD	NUMERIC	-
FREADSTR	STRING	-
FRENAME	NUMERIC	-
FSEEK	NUMERIC	-
FTOC	STRING	-
FT_AADDITION	ARRAY	-
FT_AAVG	NUMERIC	-
FT_ACCTADJ	DATE	-
FT_ACCTMONTH	ARRAY	-
FT_ACCTQTR	ARRAY	-
FT_ACCTWEEK	ARRAY	-
FT_ACCTYEAR	ARRAY	-
FT_ADAPTER	NUMERIC	-
FT_ADDWKDY	NUMERIC	-
FT_ADESSORT	ARRAY	-
FT_AEMAXLEN	NUMERIC	-
FT_AEMINLEN	NUMERIC	-
FT_ALT	LOGICAL	-
FT_AMEDIAN	NUMERIC	-
FT_ANOMATCHES	NUMERIC	-
FT_ASUM	NUMERIC	-
FT_AT2	NUMERIC	-
FT_BITCLR	STRING	-
FT_BITSET	STRING	-
FT_BRWSWHL	NUMERIC	-
FT_BYT2BIT	STRING	-
FT_BYT2HEX	STRING	-
FT_BYTEAND	STRING	-
FT_BYTENEG	STRING	-
FT_BYTENOT	STRING	-
FT_BYTEOR	STRING	-
FT_BYTEXOR	STRING	-
FT_CALENDAR	ARRAY	-
FT_CAPLOCK	LOGICAL	-
FT_CHDIR	NUMERIC	-
FT_CIV2MIL	STRING	-
FT_CLRSEL	ARRAY	-
FT_COLOR2N	NUMERIC	-
FT_CTRL	LOGICAL	-
FT_DATECNFG	ARRAY	-
FT_DAYOFYR	ARRAY	-
FT_DAYTOBOW	NUMERIC	-
FT_DEC2BIN	STRING	-
FT_DEFAULT	STRING	-
FT_DFSETUP	NUMERIC	-
FT_DISPFILE	STRING	-
FT_DISPMSG	LOGICAL	-
FT_DSKFREE	NUMERIC	-
FT_DSKSIZE	NUMERIC	-
FT_EASTER	DATE	-
FT_ELAPMIN	NUMERIC	-
FT_ELAPSED	ARRAY	-
FT_ELTIME	STRING	-
FT_FBOF	LOGICAL	-
FT_FDAY	DATE	-
FT_FDELETE	LOGICAL	-
FT_FEOF	LOGICAL	-
FT_FERROR	NUMERIC	-
FT_FINSERT	LOGICAL	-
FT_FLASTRE	NUMERIC	-
FT_FLOPTST	NUMERIC	-
FT_FREADLN	STRING	-
FT_FRECNO	NUMERIC	-
FT_FSELECT	NUMERIC	-
FT_FSKIP	NUMERIC	-
FT_FUSE	NUMERIC	-
FT_FWRITELN	LOGICAL	-
FT_GCD	NUMERIC	-
FT_GETE	NUMERIC	-
FT_GETMODE	NUMERIC	-
FT_HEX2DEC	NUMERIC	-
FT_IAMIDLE	LOGICAL	-
FT_INP	NUMERIC	-
FT_INT86	LOGICAL	-
FT_INVCLR	STRING	-
FT_ISBIT	LOGICAL	-
FT_ISBITON	LOGICAL	-
FT_ISPRINT	LOGICAL	-
FT_ISSHARE	NUMERIC	-
FT_LDAY	DATE	-
FT_LINKED	LOGICAL	-
FT_MADD	DATE	-
FT_MBUTPRS	NUMERIC	-
FT_MBUTREL	NUMERIC	-
FT_MCURSOR	LOGICAL	-
FT_MDBLCLK	LOGICAL	-
FT_METAPH	STRING	-
FT_MGETCOORD	NUMERIC	-
FT_MGETPOS	NUMERIC	-
FT_MGETX	NUMERIC	-
FT_MGETY	NUMERIC	-
FT_MIL2CIV	DATE	-
FT_MIL2MIN	NUMERIC	-
FT_MIN2DHM	ARRAY	-
FT_MIN2MIL	STRING	-
FT_MINIT	LOGICAL	-
FT_MINREGION	LOGICAL	-
FT_MKDIR	NUMERIC	-
FT_MONTH	ARRAY	-
FT_MRESET	NUMERIC	-
FT_N2COLOR	STRING	-
FT_NETPV	NUMERIC	-
FT_NTOW	STRING	-
FT_NUMLOCK	LOGICAL	-
FT_NWLSTAT	NUMERIC	-
FT_NWSEMCLOSE	NUMERIC	-
FT_NWSEMEX	NUMERIC	-
FT_NWSEMLOCK	LOGICAL	-
FT_NWSEMOPEN	NUMERIC	-
FT_NWSEMSIG	NUMERIC	-
FT_NWSEMUNLOCK	LOGICAL	-
FT_NWSEMWAIT	NUMERIC	-
FT_NWUID	STRING	-
FT_ORIGIN	STRING	-
FT_OUTP	LOGICAL	-
FT_PEEK	NUMERIC	-
FT_PICKDAY	STRING	-
FT_POKE	LOGICAL	-
FT_PROPER	STRING	-
FT_PRTSCR	LOGICAL	-
FT_PUTKEY	LOGICAL	-
FT_QTR	ARRAY	-
FT_RAND1	NUMERIC	-
FT_RAT2	NUMERIC	-
FT_RESTARR	ARRAY	-
FT_RMDIR	NUMERIC	-
FT_ROUND	NUMERIC	-
FT_SAVEARR	LOGICAL	-
FT_SAVEATT	STRING	-
FT_SAVESETS	ARRAY	-
FT_SAVRGN	STRING	-
FT_SCANCODE	STRING	-
FT_SHIFT	LOGICAL	-
FT_SINKEY	NUMERIC	-
FT_SQZN	STRING	-
FT_STOD	DATE	-
FT_SYS2MIL	STRING	-
FT_SYSMEM	NUMERIC	-
FT_TEMPFIL	STRING	-
FT_UNSQZN	NUMERIC	-
FT_WEEK	ARRAY	-
FT_WORKDAYS	NUMERIC	-
FT_YEAR	ARRAY	-
FV	NUMERIC	-
FWRITE	NUMERIC	-
GETE	STRING	-
GETENV	STRING	-
GETPREC	NUMERIC	-
GT_ASCIISUM	NUMERIC	-
GT_ASCPOS	NUMERIC	-
GT_ATDIFF	NUMERIC	-
GT_CHAREVEN	STRING	-
GT_CHARMIX	STRING	-
GT_CHARODD	STRING	-
GT_CHRCOUNT	NUMERIC	-
GT_CHRFIRST	NUMERIC	-
GT_CHRTOTAL	NUMERIC	-
GT_CLRFLAG	STRING	-
GT_ISFLAG	LOGICAL	-
GT_NEWFLAG	STRING	-
GT_SETFLAG	STRING	-
GT_STRCOUNT	NUMERIC	-
GT_STRCSPN	NUMERIC	-
GT_STRDIFF	STRING	-
GT_STREXPAND	STRING	-
GT_STRLEFT	NUMERIC	-
GT_STRPBRK	STRING	-
GT_STRRIGHT	NUMERIC	-
HARDCR	STRING	-
HBMISC_DAYSINMONTH	NUMERIC	-
HB_ADEL	ARRAY	-
HB_AINS	ARRAY	-
HB_ASCAN	NUMERIC	-
HB_AT	NUMERIC	-
HB_ATI	NUMERIC	-
HB_ATOKENS	ARRAY	-
HB_CDPSELECT	STRING	-
HB_COLORINDEX	STRING	-
HB_DISKSPACE	NUMERIC	-
HB_EOL	STRING	-
HB_FEOF	LOGICAL	-
HB_FLOCK	LOGICAL	-
HB_FUNLOCK	LOGICAL	-
HB_GETENV	STRING	-
HB_HASH	HASH	-
HB_HHASKEY	LOGICAL	-
HB_HPOS	NUMERIC	-
HB_HSCAN	NUMERIC	-
